site_id,err_p95_m,n_fix,hdop_cut_a_median,class,center_x_6677,center_y_6677,risk_proxy_5m,svf_proxy_5m,risk_horizon,overhead_flag,overhead_score
A01,22.35,720,0.5303467304781568,alley,-11820.35590806318,-37979.816068177024,0.9852636960652494,0.0147363039347505,0.9852636960652494,0,0.0
A02,23.77,720,0.5728699863989114,alley,-11836.676173429052,-38021.29902286202,0.987233954149468,0.012766045850532,0.987233954149468,0,0.0
A03,5.0,720,0.4749187887770052,alley,-12090.229144351042,-37949.21061442697,0.5834429460547078,0.4165570539452922,0.5834429460547078,0,0.0
A04,5.0,720,0.4663844784117261,alley,-11804.075388415004,-37887.067573512315,0.2641934426351899,0.73580655736481,0.2641934426351899,0,0.0
A05,5.0,720,0.4807555663754232,alley,-11765.506460702774,-37966.57242654238,0.2622936664036072,0.7377063335963928,0.2622936664036072,0,0.0
A06,57.27,720,0.4586813258782584,alley,-11838.119409916264,-37789.96885364837,0.3273954219561674,0.6726045780438326,0.3273954219561674,0,0.0
A07,5.0,720,0.4731438068178268,alley,-12171.158299345778,-37931.50669948509,0.9857818403812884,0.0142181596187115,0.9857818403812884,0,0.0
A08,5.0,720,0.4460458522381242,alley,-12167.004775405278,-37848.49664516539,0.9804025962972264,0.0195974037027737,0.9804025962972264,0,0.0
A09,5.0,720,0.4881682982490742,alley,-12198.856588913164,-37957.684348426046,0.9800948245412636,0.0199051754587363,0.9800948245412636,0,0.0
A10,5.0,720,0.471056075547595,alley,-11968.153184042963,-38063.96062840187,0.9871536266369396,0.0128463733630604,0.9871536266369396,0,0.0
A11,56.74,720,0.5832474332248235,alley,-11971.398730008992,-37975.65091090986,0.7970300598866183,0.2029699401133816,0.1366707475231365,1,1.0
A12,5.0,720,0.4901856499700774,alley,-11828.533891718536,-37933.58518755058,0.9854300833953632,0.0145699166046368,0.3032612081893361,1,1.0
A13,5.0,720,0.5022145272957699,alley,-12236.99033126365,-37893.39939263766,0.9839796234644592,0.0160203765355408,0.9839796234644592,0,0.0
A14,5.0,720,0.5537160922845614,alley,-11807.715959627183,-38049.415028860254,0.4565382072539353,0.5434617927460648,0.4565382072539353,0,0.0
A15,5.0,720,0.6174778741822298,alley,-11766.30250001,-37771.795027464235,0.9880722753864132,0.0119277246135868,0.9880722753864132,0,0.0
O01,5.0,720,0.4407245596033419,open,-11826.717755716858,-37772.50371983221,0.7972194497904923,0.2027805502095077,0.7972194497904923,0,0.0
O02,5.0,720,0.4442265107849896,open,-12179.954239212424,-38064.084916083615,0.44875477814978,0.55124522185022,0.44875477814978,0,0.0
O03,5.0,720,0.4534348256658329,open,-12008.560315024955,-37890.09725305605,0.9826838625084212,0.0173161374915787,0.9826838625084212,0,0.0
O04,5.0,720,0.4635647222200804,open,-12212.991811662638,-37719.770450372474,0.4679851728200068,0.5320148271799932,0.4679851728200068,0,0.0
O05,5.0,720,0.5019935110281813,open,-12037.354615931905,-38055.80799309419,0.9869940271037312,0.0130059728962689,0.9869940271037312,0,0.0
